# lon,lat,eastings (GDA94 MGA55),northings (GDA94 MGA55),mean (mm/yr),std (mm/yr)
150.25,-30.81,810957.9869,6586934.3327,2.79,0.08
149.83,-31.13,769853.1963,6552543.5354,9.77,4.17
150.45,-31.17,828865.0944,6546429.0782,3.98,1.31
149.51,-30.25,741512.9254,6650846.0208,15.13,5.20
149.89,-31.01,775923.4158,6565702.8337,7.99,1.29
150.44,-31.16,827945.8320,6547568.0098,3.86,1.59
149.87,-31.10,773755.0467,6555772.1019,6.57,1.33
150.21,-30.84,807033.2652,6583717.8552,21.71,6.77
149.61,-30.15,751392.4157,6661716.0901,11.24,3.60
149.70,-30.18,759985.4478,6658187.9459,1.72,1.29
149.51,-30.27,741463.9449,6648628.7166,13.26,3.71
149.56,-30.11,746674.3806,6666259.9567,15.67,5.47
151.73,-32.83,942911.0462,6357633.6980,35.00,11.78
149.89,-31.10,775663.5047,6555722.5089,16.36,0.68
150.29,-30.92,814427.3715,6574622.1790,13.65,3.01
149.60,-30.27,750124.9076,6648433.9021,13.55,1.62
150.15,-30.71,801697.5129,6598298.6031,4.26,1.47
150.51,-31.25,834305.7479,6537374.8956,3.35,1.91
149.60,-30.28,750099.5257,6647325.2095,11.76,2.16
149.55,-30.14,745636.1485,6662955.5819,18.98,2.21
150.26,-30.87,811720.9628,6580251.9617,17.10,4.38
149.54,-30.25,744400.4664,6650781.8722,16.51,2.88
149.88,-31.01,774968.2829,6565727.6321,5.30,1.52
149.56,-30.32,746150.5263,6642977.9452,27.26,0.03
150.55,-34.10,827528.5542,6221063.1340,9.45,3.34
149.59,-30.29,749111.9879,6646238.5100,11.71,2.21
149.89,-30.94,776125.0981,6573465.2368,6.13,1.01
150.32,-30.91,817329.0645,6575646.1786,11.09,2.63
149.88,-30.94,775169.2653,6573490.0029,5.98,1.05
150.48,-31.27,831376.7837,6535246.9880,4.06,0.00
150.49,-31.21,832540.0751,6541872.3652,6.09,1.84
149.86,-31.01,773058.0289,6565776.9703,3.81,1.75
150.50,-31.15,833704.2167,6548497.6826,3.61,1.90
149.88,-31.14,774593.9409,6551311.6336,9.05,2.35
149.62,-30.09,752508.6904,6668346.0706,1.62,1.87
151.74,-32.89,943548.6363,6350930.7310,16.99,6.21
149.61,-30.12,751468.5334,6665042.1246,4.34,2.78
149.58,-30.33,748048.9927,6641825.6648,4.47,0.79
149.57,-30.07,747738.0705,6670672.9132,4.37,1.94
150.51,-31.25,834305.7479,6537374.8956,3.35,1.91
150.46,-31.18,829784.1500,6545290.0480,3.86,1.09
149.86,-31.08,772858.0386,6558014.6005,3.62,1.01
149.90,-30.85,777340.5327,6583420.5669,2.63,0.67
150.12,-31.01,797892.5963,6565108.6718,1.68,0.55
149.92,-30.85,779254.0139,6583370.6883,2.81,0.71
150.51,-31.25,834305.7479,6537374.8956,3.35,1.91
149.85,-31.08,771903.6187,6558039.1721,3.52,1.06
149.72,-30.20,761859.0067,6655924.6330,2.41,1.17
150.56,-34.10,828451.6131,6221030.9831,12.24,4.92
151.71,-33.01,940141.7576,6337735.2735,61.71,25.89
151.76,-32.93,945221.0138,6346405.5539,122.29,34.04
151.75,-32.93,944284.7933,6346447.8895,126.55,36.49
151.99,-32.74,967754.4159,6366503.0493,247.62,49.59
151.74,-32.77,944147.5122,6364252.4643,531.21,0.00
151.85,-32.83,954158.6764,6357122.7038,180.94,42.31
151.84,-32.81,953323.2497,6359386.2012,161.80,32.07
151.80,-32.88,949219.1793,6351786.2567,124.52,21.41
151.80,-32.87,949269.7838,6352896.4436,117.72,19.99
151.90,-32.78,959103.2771,6362457.2375,156.51,30.57
150.09,-30.99,795088.5952,6567406.7853,1.04,0.46
149.56,-30.14,746599.7470,6662933.9916,18.93,2.29
150.25,-30.91,810634.9424,6575843.5526,17.76,1.31
150.30,-30.90,815449.2820,6576812.1115,12.47,1.95
151.71,-33.01,940141.7576,6337735.2735,61.71,25.89
149.87,-31.09,773783.7587,6556881.0229,5.60,1.20
150.48,-31.19,831656.5795,6544120.9305,3.82,1.45
151.97,-32.76,965773.2150,6364370.9004,244.88,51.22
151.98,-32.75,966763.7137,6365437.0128,266.52,54.93
149.88,-30.96,775111.8837,6571272.1891,4.91,1.31
150.11,-30.88,797340.1741,6579552.6694,17.52,0.49
150.45,-31.15,828934.2976,6548647.5158,2.20,1.29
150.43,-31.11,827163.8439,6553143.6613,6.79,0.75
150.47,-31.07,831120.2719,6557461.6363,0.74,1.08
150.11,-30.88,797340.1741,6579552.6694,17.52,0.49
150.46,-31.01,830372.9780,6564146.7391,3.14,1.08
150.26,-30.88,811688.5443,6579142.8767,16.82,4.18
149.86,-30.94,773257.6116,6573539.2769,5.87,1.42
149.63,-30.29,752960.6039,6646150.0225,7.91,1.30
150.30,-30.90,815449.2820,6576812.1115,12.47,1.95
150.06,-31.03,792100.1899,6563050.0667,1.28,0.92
150.53,-31.11,836707.7317,6552843.7821,1.11,1.42
150.17,-30.71,803613.9913,6598244.5683,3.83,1.15
149.57,-30.12,747613.3073,6665129.6367,16.95,4.44
150.23,-30.86,808883.0191,6581444.5223,21.32,6.76
150.06,-31.02,792130.7464,6564159.0685,0.94,0.63
149.86,-30.91,773343.0222,6576865.9604,4.52,1.01
150.14,-30.98,799897.0565,6568381.9621,1.61,0.66
150.12,-30.97,798017.0998,6569544.7799,1.50,0.80
149.89,-30.94,776125.0981,6573465.2368,6.13,1.01
148.37,-32.11,629254.4901,6446550.0345,9.42,3.53
149.73,-30.98,760723.4411,6569415.8016,5.07,0.90
148.37,-32.10,629268.5808,6447658.6164,8.83,2.71
150.29,-30.93,814394.6056,6573513.0724,13.17,3.17
150.21,-30.81,807128.8832,6587045.0144,13.99,5.22
148.42,-32.10,633986.8284,6447597.5588,4.92,1.06
150.42,-31.10,826243.7259,6554282.3697,19.90,0.00
148.44,-32.10,635874.1399,6447572.5226,4.00,0.89
150.17,-30.71,803613.9913,6598244.5683,3.83,1.15
149.52,-30.26,742450.8510,6649716.0672,14.43,4.80
149.06,-30.81,697069.2553,6589639.4981,6.20,1.43
150.06,-30.94,792374.8777,6573031.0380,4.43,2.22
150.14,-31.00,799834.4044,6566163.8881,1.42,0.44
150.17,-30.73,803551.2372,6596026.5282,3.06,2.09
149.84,-31.03,771091.0926,6563608.1684,1.30,1.58
150.19,-30.69,805593.6016,6600408.2462,4.67,0.95
150.20,-30.81,806171.6185,6587072.4699,16.13,6.02
149.82,-30.92,769490.5015,6575854.5456,5.29,0.94
150.20,-30.82,806139.8548,6585963.4232,18.91,6.28
149.73,-30.06,763193.6199,6671423.8165,1.26,1.29
149.83,-30.99,770249.1424,6568068.1122,2.48,1.24
149.53,-30.24,743462.6238,6651911.9985,17.63,2.11
149.56,-30.25,746325.5122,6650738.6821,19.41,1.07
149.52,-30.24,742500.0123,6651933.3771,18.17,2.24
150.13,-30.98,798941.5199,6568408.9015,1.75,0.76
149.51,-30.26,741488.4388,6649737.3694,17.09,4.76
149.89,-30.88,776297.6405,6580118.6753,3.84,0.77
149.78,-30.96,765555.7701,6571515.2063,4.88,1.11
150.27,-30.72,813164.2869,6596860.1738,5.25,1.36
150.14,-30.99,799865.7350,6567272.9257,1.44,0.51
148.98,-30.77,689493.0623,6594211.9116,7.64,2.98
150.13,-30.99,798910.2985,6567299.8701,1.49,0.47
150.31,-31.07,815844.2933,6557928.6401,19.52,0.00
149.67,-30.43,756443.4129,6630537.8896,4.48,1.09
150.48,-31.23,831516.7624,6539683.9680,3.74,1.49
150.14,-31.00,799834.4044,6566163.8881,1.42,0.44
149.12,-30.52,703417.3270,6621680.4404,14.67,0.04
150.49,-31.25,832399.7735,6537435.3720,7.62,2.66
149.66,-30.35,755691.0810,6639430.4150,5.48,1.13
149.84,-30.04,773857.8520,6673382.8473,12.09,1.27
149.59,-30.14,749490.5650,6662868.7125,16.05,4.94
149.55,-30.13,745660.9365,6664064.2340,21.97,4.83
149.08,-30.75,699106.5721,6596255.4534,7.66,2.44
149.99,-32.53,780838.9869,6396872.6723,5.06,1.15
150.10,-31.59,794172.2706,6500836.9639,10.72,2.14
150.11,-31.60,795090.0646,6499700.8908,7.31,1.30
150.20,-31.60,803633.6234,6499454.1282,11.91,0.78
150.36,-31.49,819197.7919,6511199.3504,5.51,0.92
150.32,-31.52,815294.9866,6507987.6845,7.03,1.36
149.91,-31.84,775394.1823,6473607.4987,6.48,0.95
150.09,-30.13,797706.2494,6662777.3479,13.78,3.57
150.06,-32.14,788653.3046,6439943.1819,4.46,0.71
150.61,-31.95,841268.7574,6459412.5321,13.22,2.83
149.12,-31.45,701452.5197,6518579.9063,10.15,1.47
150.61,-31.96,841231.7138,6458303.1409,13.66,2.96
150.38,-31.93,819583.6395,6462334.1765,6.83,1.52
149.73,-30.15,762954.9566,6661445.2620,9.18,0.58
148.58,-32.21,648906.5052,6435192.4631,3.70,0.79
150.39,-32.06,820077.0328,6447883.9341,7.33,0.98
148.56,-32.20,647037.5000,6436328.6426,3.94,0.93
150.31,-32.08,812451.7290,6445900.2465,4.47,0.97
150.28,-31.61,811194.8699,6498119.6730,13.98,0.70
150.21,-32.16,802743.0874,6437312.2858,4.00,0.67
150.48,-32.28,827788.9603,6423207.4277,2.35,0.91
149.82,-31.82,766931.3372,6476050.4430,7.57,1.13
150.05,-31.94,788336.6443,6462152.4387,6.68,1.43
150.61,-31.96,841231.7138,6458303.1409,13.66,2.96
150.48,-31.96,828936.7782,6458706.3262,15.78,3.53
149.96,-32.34,778604.5735,6418024.9930,3.02,0.53
150.30,-34.61,802612.0531,6165252.0252,23.24,6.94
149.86,-31.65,771214.4062,6494804.3670,15.55,4.09
148.63,-32.18,653669.7085,6438448.0387,2.45,0.59
150.50,-32.26,829746.2698,6425364.7705,11.92,0.20
149.82,-31.63,767477.1134,6497121.0840,9.26,2.39
150.30,-32.14,811303.3222,6439273.7163,4.28,0.74
150.20,-31.69,803340.8116,6489471.8202,9.71,2.17
150.30,-32.09,811473.3335,6444819.9656,2.42,0.37
150.31,-34.61,803529.4233,6165221.9354,26.24,8.16
150.67,-31.79,847545.3776,6476972.1117,12.22,3.34
148.60,-32.21,650791.6096,6435164.5717,21.63,0.00
149.84,-29.89,774269.9452,6690014.2804,4.90,0.58
150.04,-31.83,787733.1297,6474379.1448,9.38,2.57
150.38,-31.78,820102.2889,6478973.0716,8.30,1.45
148.75,-32.34,664695.0088,6420531.1364,4.79,0.93
150.48,-31.96,828936.7782,6458706.3262,15.78,3.53
150.11,-32.07,793596.0731,6447572.0008,5.11,0.88
150.61,-31.79,841860.0408,6477162.6481,9.48,2.20
148.55,-32.20,646094.8514,6436342.2788,15.84,0.26
148.63,-32.18,653669.7085,6438448.0387,2.45,0.59
150.12,-32.12,794379.9043,6441998.9008,4.43,0.71
